restaurant_visits,restaurant_spend_usd,bar_lounge_visits,spa_treatments_count,spa_spend_usd,gym_checkins_count,pool_beach_visits_count,activity_bookings_count,kids_club_sessions,tour_bookings_count,business_center_hours,concierge_requests_count,transport_requests_count,laundry_requests_count,service_complaint_count,total_dining_spend,total_wellness_usage,total_business_services,family_activity_score,guest_cluster
4,256.06,3,0,0.0,1,1,1,0,0,2.7,0,1,0,0,684.1600000000001,2,3.7,1,0
7,688.41,2,1,272.71,1,2,0,0,1,4.3,1,1,1,0,688.41,4,7.3,1,0
7,340.35,0,2,289.82,1,4,2,9,1,0.0,1,0,1,0,340.35,7,2.0,12,1
2,156.88,1,0,0.0,0,0,0,0,0,1.4,2,3,2,0,284.51,0,8.4,0,3
6,298.67,0,0,0.0,0,2,3,0,2,3.7,2,1,1,0,298.67,2,7.7,5,5
2,140.62,1,1,89.6,0,7,2,0,3,0.0,4,3,0,0,198.23000000000002,8,7.0,5,5
4,281.05,0,0,0.0,4,0,0,0,1,0.6,1,0,0,0,338.49,4,1.6,1,4
2,219.72,4,2,319.72,0,1,0,0,2,0.0,2,0,0,0,471.25,3,2.0,2,0
6,646.79,3,2,272.48,1,0,4,0,1,0.0,4,2,2,1,789.62,3,8.0,5,0
0,0.0,0,0,0.0,0,0,0,0,1,0.0,2,0,0,1,66.36,0,2.0,1,4
0,0.0,0,0,0.0,0,1,0,0,0,0.0,1,1,0,0,78.92,1,2.0,0,4
4,363.51,1,5,815.88,4,5,1,0,1,0.0,1,0,2,0,427.27,14,3.0,2,2
10,642.71,3,1,164.03,2,1,0,0,1,0.0,2,0,1,0,852.96,4,3.0,1,0
3,288.51,1,0,0.0,0,4,3,6,3,0.0,2,0,0,0,288.51,4,2.0,12,1
6,252.03,2,0,0.0,2,0,0,0,0,0.0,0,4,1,2,733.86,2,5.0,0,0
8,365.29,6,0,0.0,0,0,0,0,1,0.0,0,0,1,0,666.6800000000001,0,1.0,1,0
3,79.93,0,0,0.0,0,6,2,6,1,0.0,2,0,0,0,79.93,6,2.0,9,1
1,81.2,7,1,134.47,0,1,1,0,1,0.0,1,1,0,0,126.63,2,2.0,2,4
1,81.95,0,0,0.0,0,0,0,0,0,5.5,3,3,1,3,176.51,0,12.5,0,3
5,419.29,2,0,0.0,1,2,3,0,5,0.0,0,1,0,0,542.96,3,1.0,8,5
1,78.92,1,0,0.0,2,0,1,0,0,1.7,4,1,5,0,173.32999999999998,2,11.7,1,3
5,452.49,3,0,0.0,3,0,3,0,5,0.0,6,0,0,0,534.95,3,6.0,8,5
3,206.94,1,8,1294.63,5,2,0,0,0,0.0,0,1,0,0,286.62,15,1.0,0,2
9,385.64,1,3,244.76,0,5,2,0,1,0.0,1,0,1,0,385.64,8,2.0,3,2
1,55.04,1,0,0.0,3,0,0,0,0,1.9,5,4,1,0,238.19,3,11.9,0,3
2,142.73,2,0,0.0,2,0,0,0,1,4.3,2,3,2,0,273.57,2,11.3,1,3
