variance,components,k,n_init,silhouette,db,ch
0.85,9,6,20,0.2340860232206775,1.4100431061720524,23832.66964886128
0.85,9,6,50,0.23405696900495365,1.4098356529347005,23832.672220141285
0.85,9,6,10,0.2340509969055527,1.4099039620300395,23832.634515361555
0.85,9,7,10,0.22188247546534806,1.5010842343334416,21907.777095997557
0.85,9,7,20,0.22188247546534806,1.5010842343334416,21907.777095997557
0.85,9,7,50,0.22188247546534806,1.5010842343334416,21907.777095997557
0.88,10,6,50,0.2211214287478713,1.469655955838612,21925.0747650548
0.88,10,6,10,0.22108840749286127,1.4697483125094744,21925.06322389229
0.88,10,6,20,0.22108840749286127,1.4697483125094744,21925.06322389229
0.85,9,4,10,0.21507261773148714,1.5336449768533966,24911.378264491414
0.85,9,4,20,0.21506658162610848,1.5337528831284053,24911.3901027838
0.85,9,4,50,0.2150546503215468,1.5337165673645747,24911.42171469477
0.85,9,5,10,0.21436233879364122,1.4252058061228339,24273.153508701693
0.85,9,5,20,0.21434910510276683,1.4247429386334518,24273.23218384568
0.85,9,5,50,0.21434910510276683,1.4247429386334518,24273.23218384568
0.88,10,7,50,0.2106167303111519,1.5685621824262999,20120.05262224515
0.88,10,7,20,0.21047873733255174,1.5644119547388653,20119.59762625048
0.88,10,7,10,0.2104439764426384,1.5640726744376927,20119.48106166986
0.92,11,6,50,0.21036910614848864,1.515439136889521,20458.898085864996
0.9,11,6,50,0.21036910614848864,1.515439136889521,20458.898085864996
0.9,11,6,20,0.21036550494928993,1.5152401713358856,20458.892713700916
0.92,11,6,20,0.21036550494928993,1.5152401713358856,20458.892713700916
0.92,11,6,10,0.210348593701165,1.5153015204209777,20458.88128478139
0.9,11,6,10,0.210348593701165,1.5153015204209777,20458.88128478139
0.85,9,8,50,0.20803168020400756,1.4874349860357823,20258.563478610333
0.85,9,8,20,0.20581717344733788,1.5058252520509905,20258.151983475997
0.85,9,8,10,0.20579259656236815,1.5058663053001786,20258.11150507798
0.88,10,4,20,0.20360423972833955,1.5851817817487515,23228.67373990222
0.88,10,4,50,0.20360423972833955,1.5851817817487515,23228.67373990222
0.88,10,4,10,0.20360419912731445,1.5852218007113326,23228.663210871113
0.88,10,8,50,0.20215808892118456,1.5575201752940802,18617.2613825802
0.88,10,5,10,0.20213137454912397,1.4790098012726298,22474.882527331632
0.88,10,5,20,0.20210217976114206,1.4801903883683976,22474.950669888727
0.88,10,5,50,0.20210217976114206,1.4801903883683976,22474.950669888727
0.88,10,8,10,0.2019604444670443,1.5585107544494599,18617.11157751179
0.88,10,8,20,0.2019604444670443,1.5585107544494599,18617.11157751179
0.92,11,7,20,0.19917940403151466,1.617471781760463,18727.775395665805
0.9,11,7,20,0.19917940403151466,1.617471781760463,18727.775395665805
0.9,11,7,50,0.19917940403151466,1.617471781760463,18727.775395665805
0.92,11,7,50,0.19917940403151466,1.617471781760463,18727.775395665805
0.92,11,7,10,0.19911789039235375,1.62202909686273,18727.7239777114
0.9,11,7,10,0.19911789039235375,1.62202909686273,18727.7239777114
0.9,11,4,20,0.19489619485656437,1.6318566389258402,21906.36486402346
0.9,11,4,10,0.19489619485656437,1.6318566389258402,21906.36486402346
0.92,11,4,20,0.19489619485656437,1.6318566389258402,21906.36486402346
0.9,11,4,50,0.19489619485656437,1.6318566389258402,21906.36486402346
0.92,11,4,50,0.19489619485656437,1.6318566389258402,21906.36486402346
0.92,11,4,10,0.19489619485656437,1.6318566389258402,21906.36486402346
0.9,11,5,10,0.1914007013636322,1.5266648171014567,21059.452375117857
0.92,11,5,20,0.1914007013636322,1.5266648171014567,21059.452375117857
0.92,11,5,10,0.1914007013636322,1.5266648171014567,21059.452375117857
0.9,11,5,20,0.1914007013636322,1.5266648171014567,21059.452375117857
0.9,11,5,50,0.1913857644776776,1.5263191433498604,21059.448963004786
0.92,11,5,50,0.1913857644776776,1.5263191433498604,21059.448963004786
0.9,11,8,50,0.18853837820386934,1.6180874045667621,17351.236383176805
0.9,11,8,20,0.18853837820386934,1.6180874045667621,17351.236383176805
0.92,11,8,50,0.18853837820386934,1.6180874045667621,17351.236383176805
0.92,11,8,20,0.18853837820386934,1.6180874045667621,17351.236383176805
0.9,11,8,10,0.18852979089081243,1.6192297445011397,17351.067219057273
0.92,11,8,10,0.18852979089081243,1.6192297445011397,17351.067219057273
